sex,race,age,county,total
male,other,0-17,01045,974
male,other,18-34,01045,553
male,other,35-64,01045,733
male,other,65-74,01045,355
male,other,75+,01045,50
male,white,0-17,01045,3535
male,white,18-34,01045,3885
male,white,35-64,01045,6364
male,white,65-74,01045,1927
male,white,75+,01045,1252
female,black,0-17,01047,3251
female,black,18-34,01047,2974
female,black,35-64,01047,5569
female,black,65-74,01047,1564
female,black,75+,01047,972
female,other,0-17,01047,208
female,other,18-34,01047,121
female,other,35-64,01047,96
female,other,65-74,01047,49
female,other,75+,01047,32
female,white,0-17,01047,838
female,white,18-34,01047,801
female,white,35-64,01047,2025
female,white,65-74,01047,878
female,white,75+,01047,749
male,black,0-17,01047,3564
male,black,18-34,01047,2563
male,black,35-64,01047,4188
male,black,65-74,01047,1209
male,black,75+,01047,613
male,other,0-17,01047,189
male,other,18-34,01047,77
male,other,35-64,01047,71
male,other,65-74,01047,16
male,other,75+,01047,3
male,white,0-17,01047,896
male,white,18-34,01047,761
male,white,35-64,01047,1921
male,white,65-74,01047,814
male,white,75+,01047,524
female,black,0-17,01049,89
female,black,18-34,01049,77
female,black,35-64,01049,162
female,black,65-74,01049,70
female,black,75+,01049,30
female,other,0-17,01049,2170
female,other,18-34,01049,1616
female,other,35-64,01049,2090
female,other,65-74,01049,181
female,other,75+,01049,85
female,white,0-17,01049,6180
female,white,18-34,01049,5368
female,white,35-64,01049,11443
female,white,65-74,01049,3666
female,white,75+,01049,2750
male,black,0-17,01049,99
male,black,18-34,01049,123
male,black,35-64,01049,201
male,black,65-74,01049,54
male,black,75+,01049,18
male,other,0-17,01049,2342
male,other,18-34,01049,1550
male,other,35-64,01049,2176
male,other,65-74,01049,302
male,other,75+,01049,40
male,white,0-17,01049,6562
male,white,18-34,01049,5897
male,white,35-64,01049,11294
male,white,65-74,01049,3383
male,white,75+,01049,1928
female,black,0-17,01051,1950
female,black,18-34,01051,2428
female,black,35-64,01051,3983
female,black,65-74,01051,631
female,black,75+,01051,346
female,other,0-17,01051,989
female,other,18-34,01051,782
female,other,35-64,01051,767
female,other,65-74,01051,108
female,other,75+,01051,69
female,white,0-17,01051,6372
female,white,18-34,01051,6754
female,white,35-64,01051,13594
female,white,65-74,01051,3892
female,white,75+,01051,2818
male,black,0-17,01051,2258
male,black,18-34,01051,2865
male,black,35-64,01051,3532
male,black,65-74,01051,505
male,black,75+,01051,187
male,other,0-17,01051,596
male,other,18-34,01051,767
male,other,35-64,01051,793
male,other,65-74,01051,70
male,other,75+,01051,59
male,white,0-17,01051,7090
male,white,18-34,01051,6314
male,white,35-64,01051,12591
male,white,65-74,01051,3493
male,white,75+,01051,2066
female,black,0-17,01053,1323
female,black,18-34,01053,1011
female,black,35-64,01053,2009
female,black,65-74,01053,561
female,black,75+,01053,440
female,other,0-17,01053,460
female,other,18-34,01053,486
female,other,35-64,01053,459
female,other,65-74,01053,117
female,other,75+,01053,55
female,white,0-17,01053,2315
female,white,18-34,01053,2081
female,white,35-64,01053,4217
female,white,65-74,01053,1480
female,white,75+,01053,1335
male,black,0-17,01053,1439
male,black,18-34,01053,1557
male,black,35-64,01053,2271
male,black,65-74,01053,524
male,black,75+,01053,120
male,other,0-17,01053,439
male,other,18-34,01053,370
male,other,35-64,01053,509
male,other,65-74,01053,150
male,other,75+,01053,17
male,white,0-17,01053,2377
male,white,18-34,01053,2079
male,white,35-64,01053,4379
male,white,65-74,01053,1269
male,white,75+,01053,846
female,black,0-17,01055,1919
female,black,18-34,01055,1990
female,black,35-64,01055,3183
female,black,65-74,01055,896
female,black,75+,01055,454
female,other,0-17,01055,1677
female,other,18-34,01055,753
female,other,35-64,01055,1212
female,other,65-74,01055,221
female,other,75+,01055,55
female,white,0-17,01055,7363
female,white,18-34,01055,7651
female,white,35-64,01055,16240
female,white,65-74,01055,5476
female,white,75+,01055,4117
male,black,0-17,01055,1695
male,black,18-34,01055,1863
male,black,35-64,01055,2596
male,black,65-74,01055,676
male,black,75+,01055,257
male,other,0-17,01055,1668
male,other,18-34,01055,908
male,other,35-64,01055,1098
male,other,65-74,01055,273
male,other,75+,01055,46
male,white,0-17,01055,8165
male,white,18-34,01055,7516
male,white,35-64,01055,15592
male,white,65-74,01055,4774
male,white,75+,01055,2874
female,black,0-17,01057,154
female,black,18-34,01057,414
female,black,35-64,01057,322
female,black,65-74,01057,154
female,black,75+,01057,64
female,other,0-17,01057,44
female,other,18-34,01057,77
female,other,35-64,01057,39
female,other,65-74,01057,30
female,other,75+,01057,1
female,white,0-17,01057,1346
female,white,18-34,01057,1340
female,white,35-64,01057,2662
female,white,65-74,01057,917
female,white,75+,01057,746
male,black,0-17,01057,345
male,black,18-34,01057,66
male,black,35-64,01057,323
male,black,65-74,01057,106
male,black,75+,01057,35
male,other,0-17,01057,134
male,other,18-34,01057,46
male,other,35-64,01057,85
male,other,65-74,01057,37
male,other,75+,01057,35
male,white,0-17,01057,1429
male,white,18-34,01057,1279
male,white,35-64,01057,2573
male,white,65-74,01057,805
male,white,75+,01057,565
female,black,0-17,01059,68
female,black,18-34,01059,82
female,black,35-64,01059,223
female,black,65-74,01059,58
female,black,75+,01059,104
female,other,0-17,01059,1347
female,other,18-34,01059,644
female,other,35-64,01059,1025
female,other,65-74,01059,123
female,other,75+,01059,17
female,white,0-17,01059,2619
female,white,18-34,01059,2401
female,white,35-64,01059,4719
female,white,65-74,01059,1519
female,white,75+,01059,1253
male,black,0-17,01059,173
male,black,18-34,01059,128
male,black,35-64,01059,283
male,black,65-74,01059,56
male,black,75+,01059,112
male,other,0-17,01059,1249
male,other,18-34,01059,1080
male,other,35-64,01059,913
male,other,65-74,01059,25
male,other,75+,01059,60
male,white,0-17,01059,2569
male,white,18-34,01059,2230
male,white,35-64,01059,4732
male,white,65-74,01059,1326
male,white,75+,01059,840
female,black,0-17,01061,190
female,black,18-34,01061,211
female,black,35-64,01061,556
female,black,65-74,01061,141
female,black,75+,01061,109
female,other,0-17,01061,400
female,other,18-34,01061,224
female,other,35-64,01061,319
female,other,65-74,01061,39
female,other,75+,01061,24
female,white,0-17,01061,2285
female,white,18-34,01061,1963
female,white,35-64,01061,4527
female,white,65-74,01061,1431
female,white,75+,01061,1200
male,black,0-17,01061,199
male,black,18-34,01061,241
male,black,35-64,01061,427
male,black,65-74,01061,152
male,black,75+,01061,85
male,other,0-17,01061,445
male,other,18-34,01061,98
male,other,35-64,01061,281
male,other,65-74,01061,45
male,other,75+,01061,1
male,white,0-17,01061,2391
male,white,18-34,01061,2083
male,white,35-64,01061,4430
male,white,65-74,01061,1407
male,white,75+,01061,822
female,black,0-17,01063,602
female,black,18-34,01063,720
female,black,35-64,01063,1060
female,black,65-74,01063,475
female,black,75+,01063,318
female,other,0-17,01063,3
female,other,18-34,01063,0
female,other,35-64,01063,8
female,other,65-74,01063,0
female,other,75+,01063,0
female,white,0-17,01063,146
female,white,18-34,01063,91
female,white,35-64,01063,254
female,white,65-74,01063,101
female,white,75+,01063,162
male,black,0-17,01063,839
male,black,18-34,01063,589
male,black,35-64,01063,991
male,black,65-74,01063,384
male,black,75+,01063,208
male,other,0-17,01063,2
male,other,18-34,01063,0
male,other,35-64,01063,30
male,other,65-74,01063,0
male,other,75+,01063,0
male,white,0-17,01063,30
male,white,18-34,01063,151
male,white,35-64,01063,255
male,white,65-74,01063,86
male,white,75+,01063,84
female,black,0-17,01065,848
female,black,18-34,01065,1013
female,black,35-64,01065,1693
female,black,65-74,01065,506
female,black,75+,01065,351
female,other,0-17,01065,139
female,other,18-34,01065,38
female,other,35-64,01065,89
female,other,65-74,01065,18
female,other,75+,01065,15
female,white,0-17,01065,647
female,white,18-34,01065,533
female,white,35-64,01065,1078
female,white,65-74,01065,386
female,white,75+,01065,350
male,black,0-17,01065,1155
male,black,18-34,01065,681
male,black,35-64,01065,1380
male,black,65-74,01065,390
male,black,75+,01065,208
male,other,0-17,01065,128
male,other,18-34,01065,273
male,other,35-64,01065,122
male,other,65-74,01065,25
male,other,75+,01065,11
male,white,0-17,01065,598
male,white,18-34,01065,373
male,white,35-64,01065,1025
male,white,65-74,01065,438
male,white,75+,01065,238
female,black,0-17,01067,456
female,black,18-34,01067,397
female,black,35-64,01067,946
female,black,65-74,01067,330
female,black,75+,01067,212
female,other,0-17,01067,78
female,other,18-34,01067,40
female,other,35-64,01067,108
female,other,65-74,01067,43
female,other,75+,01067,5
female,white,0-17,01067,1184
female,white,18-34,01067,1043
female,white,35-64,01067,2426
female,white,65-74,01067,952
female,white,75+,01067,716
male,black,0-17,01067,464
male,black,18-34,01067,521
male,black,35-64,01067,676
male,black,65-74,01067,283
male,black,75+,01067,109
male,other,0-17,01067,120
male,other,18-34,01067,87
male,other,35-64,01067,186
male,other,65-74,01067,4
male,other,75+,01067,0
male,white,0-17,01067,1268
male,white,18-34,01067,1006
male,white,35-64,01067,2371
male,white,65-74,01067,868
male,white,75+,01067,551
female,black,0-17,01069,3894
female,black,18-34,01069,3790
female,black,35-64,01069,5945
female,black,65-74,01069,1312
female,black,75+,01069,736
female,other,0-17,01069,1321
female,other,18-34,01069,756
female,other,35-64,01069,1439
female,other,65-74,01069,340
female,other,75+,01069,151
female,white,0-17,01069,6709
female,white,18-34,01069,6788
female,white,35-64,01069,14130
female,white,65-74,01069,4675
female,white,75+,01069,3952
male,black,0-17,01069,4272
male,black,18-34,01069,3333
male,black,35-64,01069,4551
male,black,65-74,01069,1021
male,black,75+,01069,448
male,other,0-17,01069,1301
male,other,18-34,01069,892
male,other,35-64,01069,1282
male,other,65-74,01069,281
male,other,75+,01069,101
male,white,0-17,01069,7315
male,white,18-34,01069,6339
male,white,35-64,01069,13782
male,white,65-74,01069,4100
male,white,75+,01069,2672
female,black,0-17,01071,160
female,black,18-34,01071,136
female,black,35-64,01071,266
female,black,65-74,01071,111
female,black,75+,01071,91
female,other,0-17,01071,647
female,other,18-34,01071,379
female,other,35-64,01071,719
female,other,65-74,01071,234
female,other,75+,01071,94
